country,date,population,mobile_sub,health,internetUser,gdp_per_cap,mobile_per_cap,log_gdp_per_cap,log_health,region
Afghanistan,2010,34385068,13000000,149,4,501,0.3780710859725506,6.216608097090857,5.003953017332334,Asia
Albania,2000,3071856,29791,29,0,1200,0.009698045741727477,7.090077669109077,3.367330312150578,Europe
Albania,2010,3204284,4547807,18,45,3701,1.419289613529887,8.216358602583364,2.8904273119085677,Europe
Algeria,2000,30533827,86000,49,0,1794,0.0028165483481648076,7.4922036000321866,3.8918407060656484,Africa
Algeria,2010,35468208,32780165,36,13,4567,0.9242126075272818,8.426612032147094,3.5835467158480925,Africa
Andorra,2000,64634,23543,5,11,17539,0.3642510133985209,9.77218230877393,1.6096378924367667,Europe
Angola,2000,13926373,25806,200,0,656,0.001853030936339275,6.486162313333171,5.298322366535537,Africa
Angola,2010,19081912,8909200,161,10,4322,0.46689241623166483,8.371473768441168,5.081410576145298,Africa
Antigua and Barbuda,2000,77656,22000,15,6,10334,0.28330071082723807,9.243194805615076,2.7081168655467533,The Americas
Antigua and Barbuda,2010,88710,167970,8,80,13006,1.8934731146432195,9.473166145316684,2.079566533867987,The Americas
Argentina,2000,36930709,6487950,20,7,7696,0.1756789992848499,8.948456122283163,2.995782272304033,The Americas
Argentina,2010,40412376,57300000,14,36,9124,1.417882482336599,9.118663693005324,2.639128755635788,The Americas
Armenia,2000,3076098,17486,33,1,621,0.005684474291781341,6.43133269223814,3.4965378640376557,Asia
Armenia,2010,3092072,3865354,20,44,3031,1.2500853796418712,8.016648206981866,2.995782272304033,Asia
Australia,2000,19153000,8562000,6,47,21766,0.44703179658539133,9.98810444419922,1.7919261220073759,Oceania
Australia,2010,22299800,22500000,5,76,50746,1.0089776589924573,10.83458809576975,1.6096378924367667,Oceania
Austria,2000,8011566,6117000,6,34,23974,0.7635211393128385,10.084725230478899,1.7919261220073759,Europe
Austria,2010,8389771,12241000,4,73,44885,1.459038631686133,10.711858964469947,1.3865443298750981,Europe
Azerbaijan,2000,8048600,420400,67,0,655,0.05223268642993813,6.484636762351644,4.2047075446527185,Asia
Azerbaijan,2010,9054332,9100113,46,47,5843,1.0050562537357808,8.672999813699382,3.828663135383238,Asia
Bahrain,2000,638193,205727,12,6,12489,0.32235859685079593,9.432603615933544,2.4849899796493045,Middle East
Bahrain,2010,1261835,1567000,10,55,18184,1.2418422376935179,9.80829742052578,2.3026850879943788,Middle East
Bangladesh,2000,129592275,279000,86,0,364,0.002152906104935653,5.897156614885714,4.454358924092881,Asia
Bangladesh,2010,148692131,68650000,48,4,675,0.4616922196104648,6.514714172352914,3.8712218440242134,Asia
Barbados,2000,267511,28467,17,4,9565,0.10641431567300036,9.165865986422178,2.833272165855592,The Americas
Barbados,2010,273331,350061,20,70,15035,1.2807219086016588,9.6181361619341,2.995782272304033,The Americas
Belarus,2000,10005000,49353,14,2,1273,0.004932833583208396,7.149132384103052,2.639128755635788,Europe
Belarus,2010,9490000,10332900,6,32,5819,1.0888198103266595,8.668883876507488,1.7919261220073759,Europe
Belgium,2000,10251250,5629000,6,29,22697,0.549103767833191,10.029988080204156,1.7919261220073759,Europe
Belgium,2010,10895785,12154041,4,74,42833,1.1154809864548538,10.66506413586434,1.3865443298750981,Europe
Belize,2000,249800,16812,27,6,3331,0.06730184147317854,8.111028138403782,3.295873902355512,The Americas
