1,M,1987,107572595931951,"Madison, Wisconsin",105479049486624,"Ann Arbor, Michigan",3
2,M,NULL,NULL,NULL,NULL,NULL,NULL
3,M,NULL,NULL,NULL,107765065912349,"Grinnell, Iowa",NULL
4,F,NULL,104030246300953,Xuzhou,110970792260960,"Los Angeles, California",NULL
5,M,NULL,110585945628334,"Bangkok, Thailand",105479049486624,"Ann Arbor, Michigan",14
6,M,1989,108163382538596,"Temple City, California",108163382538596,"Temple City, California",NULL
7,M,NULL,NULL,NULL,NULL,NULL,NULL
8,M,NULL,106306812739694,"Jaipur, Rajasthan",105479049486624,"Ann Arbor, Michigan",5
9,M,NULL,109755545710821,Zhengzhou,114952118516947,"San Francisco, California",NULL
10,M,1989,105803266126801,"Calcutta, India",113173272030716,"Champaign, Illinois",5
11,M,1990,104024956299889,"Cumberland Center, Maine",108424279189115,"New York, New York",NULL
12,M,1984,110339342327129,"Hangzhou, China",108100962545625,"Lafayette, Indiana",NULL
13,M,NULL,NULL,NULL,NULL,NULL,NULL
14,M,1984,104679752904613,"Guangzhou Shi, Guangdong, China",105479049486624,"Ann Arbor, Michigan",NULL
15,F,1989,106324046073002,"Shanghai, China",105479049486624,"Ann Arbor, Michigan",NULL
16,F,NULL,109132359115294,"Bilaspur, Chhattīsgarh, India",110419212320033,"Indianapolis, Indiana",7
17,F,1990,NULL,NULL,114943251851302,"Pittsburgh, Pennsylvania",NULL
18,F,NULL,103148616391598,"Taizhou, Zhejiang",106220079409935,"Nashville, Tennessee",NULL
19,M,NULL,110585945628334,"Bangkok, Thailand",110585945628334,"Bangkok, Thailand",1
20,M,NULL,107923222563053,Wuxi,105479049486624,"Ann Arbor, Michigan",NULL
21,F,1990,108083615886387,Foshan,113173272030716,"Champaign, Illinois",NULL
22,F,1991,106517799384578,"New Delhi, India",106517799384578,"New Delhi, India",NULL
23,M,1989,107923222563053,Wuxi,105597026140500,"Evanston, Illinois",1
24,F,NULL,NULL,NULL,107991659233606,"Atlanta, Georgia",NULL
25,M,NULL,106033062768799,"Dushanbe, Tajikistan",106033062768799,"Dushanbe, Tajikistan",NULL
26,F,NULL,108968699137760,"Changshan, Hunan, China",105479049486624,"Ann Arbor, Michigan",NULL
27,F,1992,112693468742190,Shaoxing,106003956105810,"Boston, Massachusetts",2
28,M,1986,108259475871818,"Seoul, Korea",105479049486624,"Ann Arbor, Michigan",NULL
29,F,NULL,177182435657025,Qinhuangdao,105479049486624,"Ann Arbor, Michigan",2
30,F,1990,106324046073002,"Shanghai, China",107991659233606,"Atlanta, Georgia",NULL
31,F,1991,112190858798324,Jinan,105479049486624,"Ann Arbor, Michigan",NULL
32,F,1990,106007332772985,"Shenzhen, Guangdong",110184922344060,"Washington, District of Columbia",NULL
33,F,NULL,115200305158163,"Hyderabad, Andhra Pradesh",105479049486624,"Ann Arbor, Michigan",NULL
34,M,NULL,103777609660951,Chenzhou,105479049486624,"Ann Arbor, Michigan",NULL
35,F,1989,111957218824045,"Putian, Fujian",105479049486624,"Ann Arbor, Michigan",NULL
36,F,NULL,NULL,NULL,NULL,NULL,NULL
37,M,1990,108651575832644,"Changchun, China",NULL,NULL,NULL
38,F,NULL,104980212871643,"Jingzhou, Hubei, China",108424279189115,"New York, New York",NULL
39,F,NULL,108651575832644,"Changchun, China",105479049486624,"Ann Arbor, Michigan",1
40,M,1991,105580272809231,"Huanggang, Hubei",105479049486624,"Ann Arbor, Michigan",NULL
41,F,1993,112237772125788,Guilin,115753025103602,"Edinburgh, United Kingdom",NULL
